token_id,count,is_dominant
2021,2108,False
1767,2105,False
6269,2105,False
4131,2103,False
4340,2097,False
6326,2096,False
3254,2095,False
6479,2095,False
3459,2086,False
7222,2079,False
7392,2079,False
495,2079,False
4492,2076,False
3114,2075,False
2043,2074,False
830,2071,False
3268,2065,False
6265,2058,False
1772,2057,True
6190,2044,False
5859,2036,False
3346,2028,False
1811,2024,False
5673,2024,False
4369,2022,False
2635,2018,False
2917,2015,False
7790,2014,False
1361,2013,False
2267,2008,False
5718,2002,False
5860,1996,True
3079,1994,False
2482,1992,False
6766,1989,False
2115,1988,False
578,1985,False
686,1984,False
2646,1982,False
2609,1981,False
6222,1978,False
965,1976,False
4278,1971,False
3961,1970,False
6623,1965,False
256,1963,False
697,1961,False
5610,1959,False
7916,1959,False
4240,1955,False
7275,1953,True
3200,1953,False
2876,1953,False
2685,1948,False
2223,1947,False
662,1945,False
6588,1943,False
7078,1942,False
2919,1939,False
404,1936,False
2502,1936,False
604,1935,False
1613,1932,False
1440,1929,False
4168,1927,False
3144,1925,False
5600,1924,False
1794,1923,False
688,1916,False
839,1914,False
1602,1907,False
675,1903,False
3192,1900,False
7698,1900,False
5163,1890,False
254,1884,False
4063,1883,False
6674,1881,False
7807,1880,False
7937,1878,False
912,1875,False
4364,1875,False
1109,1873,False
1845,1870,False
7828,1868,False
5541,1867,False
3893,1867,False
4286,1863,False
3675,1862,False
7595,1859,False
2265,1851,False
262,1847,False
7028,1843,True
1780,1841,False
1992,1838,False
6727,1837,False
2054,1824,False
5038,1824,False
7166,1824,False
5114,1822,False
3115,1819,False
4447,1816,False
1857,1807,False
6563,1807,False
2794,1806,False
3208,1805,False
5099,1799,False
3504,1796,True
6655,1794,False
8144,1793,False
1586,1791,False
8003,1791,False
3926,1791,False
7224,1790,False
4859,1788,False
4116,1788,False
5946,1787,False
5686,1784,False
5555,1781,False
6191,1781,False
7353,1781,False
804,1780,False
2477,1778,False
3207,1778,False
7149,1777,False
3195,1775,False
5277,1772,False
1270,1771,False
7035,1770,False
2180,1769,False
2127,1768,False
1506,1767,False
5682,1766,False
879,1765,False
2330,1763,False
3631,1762,False
1351,1752,False
901,1752,False
6306,1749,False
3094,1749,False
