token_id,count,is_dominant
2034,450,False
4972,448,False
6628,447,False
6036,446,False
2794,446,False
6807,445,False
3804,443,False
1609,442,False
2917,441,False
6388,441,False
4625,441,False
7589,441,False
4251,440,False
7895,439,False
8073,439,False
7484,438,False
2477,437,False
6032,437,False
3247,437,False
3981,435,False
4775,434,False
1218,433,False
1298,433,False
1204,433,False
7392,432,False
5099,432,False
6711,432,False
186,431,False
6269,431,False
7604,430,False
4673,429,False
6595,428,False
5097,427,False
1322,427,False
1150,427,False
2127,426,False
6265,425,False
2644,425,False
1741,423,False
7698,421,False
3254,420,False
2405,420,False
6354,419,False
6479,419,False
1779,419,False
2265,418,False
6846,417,False
6264,416,False
3200,416,False
581,416,False
1115,415,False
6511,414,False
1845,413,False
6902,413,False
2018,412,False
2304,412,False
6652,412,False
2021,411,False
2801,410,False
2540,409,False
4999,409,False
4746,408,False
7001,407,False
7790,406,False
3115,406,False
7448,406,False
1833,405,False
7854,405,False
3176,404,False
1846,404,False
3438,404,False
130,403,False
3434,403,False
6966,403,False
5859,403,False
3678,402,False
5716,402,False
2812,402,False
7400,401,False
4261,401,False
1159,400,False
1613,399,False
4325,399,False
4859,398,False
4606,397,False
1460,397,False
6782,396,False
5973,395,False
4290,394,False
4284,394,False
2031,394,False
7612,392,False
1967,391,False
404,391,False
6217,391,False
6881,391,False
7957,391,False
1196,390,False
1897,390,False
34,390,False
4843,388,False
5947,388,False
3729,387,False
1280,386,False
3024,386,False
4369,385,False
3452,385,False
321,384,False
3346,383,False
722,383,False
6137,382,False
6894,381,False
3926,381,False
4691,381,False
380,380,False
4833,380,False
1857,380,False
2419,379,False
817,378,False
7032,377,False
1149,377,False
5682,377,False
7129,377,False
2029,375,False
6727,375,False
162,375,False
2062,375,False
7523,375,False
8016,374,False
2054,374,False
2691,373,False
1109,373,False
6291,369,False
6413,368,False
3349,368,False
4727,368,False
6808,367,False
972,367,False
583,367,False
7377,366,False
6263,366,False
5114,366,False
3869,365,False
7153,364,False
5718,364,False
6984,364,False
1169,363,False
5910,363,False
6956,363,False
6633,362,False
2197,362,False
4582,362,False
4205,362,False
7595,362,False
7026,362,False
6766,361,False
4199,361,False
7649,360,False
7093,359,False
4993,359,False
3082,358,False
2000,358,False
5842,357,False
1775,357,False
6720,356,False
4494,356,False
7427,355,False
7078,355,False
5526,352,False
3441,352,False
14,352,False
3144,351,False
3790,351,False
6655,351,False
2400,350,False
3207,350,False
6078,350,False
3728,349,False
1780,349,False
1716,349,False
830,348,False
5515,348,False
1025,348,False
5357,348,False
1021,348,False
6829,347,False
3586,347,False
466,346,False
4805,346,False
1506,346,False
8003,345,False
2488,344,False
2229,344,False
1270,344,False
3268,344,False
2223,343,False
686,342,False
6191,341,False
211,341,False
5541,341,False
6950,341,False
6919,340,False
7950,340,False
2257,339,False
2267,339,False
8144,339,False
3779,338,False
1954,338,False
4340,336,False
6502,336,False
6618,335,False
2115,335,False
5059,334,False
5904,334,False
2467,333,False
3329,332,False
3531,331,False
153,331,False
2306,331,False
2609,330,False
495,330,False
1026,330,False
5585,328,False
7265,328,False
1862,328,False
7212,327,False
2106,326,False
8126,325,False
2089,325,False
3192,325,False
4470,325,False
3841,324,False
6095,324,False
475,324,False
4116,323,False
2583,323,False
3961,322,False
4294,322,False
4240,321,False
384,321,False
6674,320,False
675,320,False
7317,319,False
3559,319,False
4270,319,False
5606,318,False
4604,318,False
5048,317,False
3065,317,False
