file,top_codes,top_counts
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+0[0100].png,3836,216,7880,4911,1297,1836,932,4436,3356,1203,7,6,6,6,5,5,5,5,5,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+109[0100].png,331,3127,6226,3026,4817,5810,4143,2588,958,4924,7,6,6,5,5,5,5,4,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+10[0100].png,6657,2756,7880,5100,1312,6226,1775,8148,4817,5007,6,6,6,5,5,5,5,5,5,5
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+110[0100].png,3526,3030,3088,5780,1836,8013,335,2278,4524,3527,7,6,6,5,5,5,5,4,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+11[0100].png,1836,8126,7357,5007,6219,2320,2756,4322,3088,5912,10,5,5,5,5,5,5,5,5,5
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+124[0100].png,3088,7589,2308,6902,8148,215,4112,1836,162,7694,7,6,6,6,6,6,5,5,5,5
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+12[0100].png,7175,958,6226,331,5419,8110,5912,6045,5386,6657,6,6,5,4,4,4,4,4,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+138[0100].png,3088,3836,7694,7134,1836,131,958,6902,2308,1967,10,8,7,6,6,6,5,5,5,5
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+13[0100].png,7694,7880,335,4311,3356,6217,4436,5780,958,5100,8,8,5,4,4,4,4,4,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+152[0100].png,335,5671,5428,5834,3088,7694,3619,8110,2766,7869,9,8,8,8,7,6,6,6,6,6
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+166[0100].png,7694,3836,1836,4322,1877,3088,5392,594,3928,6795,9,8,6,6,6,6,6,6,5,5
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+180[0100].png,2308,4817,3209,1297,3836,8148,5038,7024,3526,7694,7,6,6,6,6,6,5,5,5,5
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+181[0100].png,3088,1836,3526,5797,4711,2226,7175,3026,935,7400,9,8,7,7,6,5,5,5,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+195[0100].png,3088,2308,5344,6902,7694,5834,2756,4492,1836,4322,10,7,6,6,6,6,6,5,5,5
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+1[0100].png,6321,3230,3356,2766,632,781,7899,5235,124,4250,7,5,5,5,5,5,4,4,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+209[0100].png,3088,5834,7337,5392,2756,1508,7957,7400,131,6795,11,7,6,6,5,5,5,5,5,5
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+20[0100].png,1508,44,781,1836,1842,3011,2336,516,3195,4250,7,6,6,5,5,5,5,4,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+21[0100].png,2756,7733,915,7089,21,516,3526,8095,6226,2766,6,6,5,5,4,4,4,4,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+22[0100].png,7599,1008,915,6226,3892,6795,2990,1652,6657,5797,6,6,6,6,5,5,5,5,5,5
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+236[0100].png,3526,3088,4322,4492,5392,2308,7880,3836,8014,335,7,7,7,6,5,5,5,5,5,5
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+23[0100].png,2226,1652,4430,4322,162,675,6269,4143,1842,6321,9,8,6,6,5,5,5,5,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+24[0100].png,2226,6045,5671,4250,4911,2308,915,5780,808,6226,6,6,5,5,5,5,5,5,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+25[0100].png,1836,8148,44,3526,2226,2756,6321,3889,4711,1508,9,6,6,5,5,5,5,5,5,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+26[0100].png,7134,2308,3204,4817,4112,7948,915,7129,3889,4259,6,6,5,5,5,5,4,4,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+2[0100].png,6480,781,335,632,693,4261,453,3836,2235,1508,6,5,5,5,5,5,5,5,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+35[0100].png,1476,3088,7089,3204,2320,1897,808,4322,3442,2194,7,6,6,5,5,5,5,4,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+36[0100].png,2967,632,582,7249,6869,1652,4711,5203,6902,5795,7,6,5,5,4,4,4,4,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+37[0100].png,3836,6226,1836,594,1652,3088,1203,5213,1476,2482,6,6,6,5,5,5,4,4,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+38[0100].png,7275,1297,7357,21,4143,7091,1652,2226,297,1836,8,6,5,5,5,5,5,5,5,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+39[0100].png,6045,1652,3889,582,1836,3526,1008,4711,1476,632,6,6,6,6,6,5,5,4,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+3[0100].png,2235,8148,4693,915,7589,2977,5797,4911,5913,4259,7,7,6,5,5,5,4,4,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+4[0100].png,2062,3088,6226,3526,8013,7089,1836,3892,932,4817,7,5,5,5,5,5,5,4,4,4
